Primary/long:ID,long:BaseObjectID,int:AdsType,#광고타입,string:URL,string:AddressablePath,string:Link,Get/AdsLinkType:LinkType,int:PlayTime,#비고/광고설명,Set/AdsLinkType
1311003,1311,2,유튜브,https://youtu.be/2QlBz3yg4z4,,https://www.walkerhill.com/,WebView,140000,[월드]World_Screen_Video_SK.prefab
1311004,1311,2,유튜브,https://youtu.be/cZZvgZqrtYI,,https://www.walkerhill.com/,WebView,120000,[월드]World_Screen_Video_SK.prefab
1311005,1311,2,유튜브,https://youtu.be/6NfU5ESKpWQ,,https://www.walkerhill.com/,WebView,70000,[월드]World_Screen_Video_SK.prefab
1311006,1311,2,유튜브,https://youtu.be/BjIG9E8pL7E,,https://www.speedmate.com,WebView,19000,[월드]World_Screen_Video_SK.prefab
1311007,1311,2,유튜브,https://youtu.be/GONyNBJxOjo,,https://walkerhill.xyz,WebView,61000,[월드]World_Screen_Video_SK.prefab
1255001,1255,3,이미지,https://c2v-ad-1318422669.cos.ap-seoul.myqcloud.com/c2v/ad/20230721023130241.jpg,,https://bit.ly/44OQXqj,WebView,4000,World_Banner_Horizontal_01_하나은행 이미지
1255002,1255,3,이미지,https://c2v-ad-1318422669.cos.ap-seoul.myqcloud.com/c2v/ad/20230721022939615.png,,https://hottracks.kyobobook.co.kr/ht/evnExh/evnExhDetail/86782?utm_source=com2vers&utm_medium=display&utm_campaign=%ec%bb%b4%ed%88%ac%eb%b2%84%ec%8a%a4,WebView,4000,World_Banner_Horizontal_02_교보 핫트렉스 이미지
1255003,1255,3,이미지,https://c2v-ad-1318422669.cos.ap-seoul.myqcloud.com/c2v/ad/20230904074324439.jpg,,https://www.walkerhill.com/,WebView,4000,World_Banner_Horizontal_01.prefab _SK 워커힐
1255004,1255,3,이미지,https://c2v-ad-1318422669.cos.ap-seoul.myqcloud.com/c2v/ad/20230904074621598.jpg,,https://www.walkerhill.com/,WebView,4000,World_Banner_Horizontal_01.prefab _SK 워커힐
1255005,1255,3,이미지,https://c2v-ad-1318422669.cos.ap-seoul.myqcloud.com/c2v/ad/20230904074742056.jpg,,https://www.walkerhill.com/,WebView,4000,World_Banner_Horizontal_01.prefab _SK 워커힐
